unit,geo_time,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PPS_HAB,NL22,30000,30300,28600,28700,29800,29700,30000,30400,31500,31300,32500 p,33700 p
PPS_HAB,NL23,28900,28200,25500,26400,26600,26800,26600,26800,27900,27900,28900 p,30100 p
PPS_HAB,NL31,44900,44800,43300,43400,43600,44200,44700,44700,46200,45300,47300 p,48900 p
PPS_HAB,NL32,45200,45400,42100,43200,43800,44400,45500,46600,49100,49100,50500 p,52200 p
PPS_HAB,NL33,38500,38800,35600,35800,35700,36600,36700,36400,38100,37400,38000 p,39400 p
PPS_HAB,NL34,27500,28400,25500,27100,28000,28100,28300,28600,30100,29800,30300 p,31500 p
PPS_HAB,NL41,34700,35100,32500,33400,34500,35100,35300,35800,37800,37500,39200 p,40700 p
PPS_HAB,NL42,30200,30200,27700,28500,29500,29700,30400,30500,32400,33000,34100 p,35400 p
PPS_HAB,NO01,: ,48200,45200,47200,47900,51000,51800,52300,50700,49300,49900,: 
PPS_HAB,NO02,: ,26100,24500,25200,26000,27100,27500,28300,28600,28100,28500,: 
PPS_HAB,NO03,: ,28700,26700,27200,27400,28900,28900,29100,29300,28300,28600,: 
PPS_HAB,NO04,: ,37900,35900,37800,37200,39500,40100,40500,39800,35600,35200,: 
PPS_HAB,NO05,: ,35900,34200,35100,36300,38300,39200,39800,38500,36500,36500,: 
PPS_HAB,NO06,: ,30400,29000,30800,31300,33500,34200,34700,34800,34100,35200,: 
PPS_HAB,NO07,: ,28500,27700,29700,29900,31200,32300,33300,32700,33700,34300,: 
PPS_HAB,PL21,12300,13000,12900,14000,15100,15700,15900,16600,18000,18100,18900,20100 p
PPS_HAB,PL22,14600,15500,15500,17000,18300,18900,18700,19400,20700,20700,21500,22600 p
PPS_HAB,PL41,14600,15300,15600,16700,17900,18800,19200,20000,21600,21800,22600,23500 p
PPS_HAB,PL42,12200,13000,12700,13600,14300,14900,14900,15600,16900,16700,17300,18100 p
PPS_HAB,PL43,12300,12600,12400,13400,14100,14800,14900,15700,16600,16800,17100,17900 p
PPS_HAB,PL51,15100,15700,15900,17900,19400,20200,20100,20900,22300,22100,22900,23900 p
PPS_HAB,PL52,11600,12500,11900,13100,13900,14400,14400,15100,16100,15900,16500,17300 p
PPS_HAB,PL61,11900,12400,12200,13200,13900,14500,14700,15200,16300,16300,16800,17700 p
PPS_HAB,PL62,10200,10700,10700,11500,12300,12700,12800,13300,14100,14200,14600,15000 p
PPS_HAB,PL63,13700,13800,14300,15300,16400,17400,17300,17800,19200,19300,20000,21100 p
PPS_HAB,PL71,12800,13400,13300,14700,15800,16600,16700,17500,18700,18600,19300,20200 p
PPS_HAB,PL72,11000,11900,11500,12300,13000,13300,13100,13600,14400,14300,14800,15700 p
PPS_HAB,PL81,9700,10300,10000,11000,11800,12500,12700,13000,13700,13800,14300,14700 p
PPS_HAB,PL82,9800,10400,10300,11100,12000,12400,12800,13200,14100,14100,14500,15400 p
PPS_HAB,PL84,10300,10600,10700,11600,12400,12700,13100,13500,14200,14100,14900,15500 p
PPS_HAB,PL91,30100,30800,31400,35400,37300,39100,39800,41300,43600,43600,45500,47900 p
PPS_HAB,PL92,11200,11700,11900,13200,14500,15200,15100,15700,17000,17000,17700,18400 p
PPS_HAB,PT11,16900,16900,16100,16800,16400,16500,17000,17800,18800,19200,19500,20200
PPS_HAB,PT15,22600,22300,20400,20600,19800,20000,20400,21600,23000,24100,25400,26400
PPS_HAB,PT16,18000,17600,17100,17700,17100,17200,17700,18300,19400,19600,19900,20600
PPS_HAB,PT17,30200,30100,28700,29500,28300,27500,28100,28700,29600,29700,30100,30900
PPS_HAB,PT18,19600,19100,18000,19000,18400,18100,18400,19200,21000,21000,21800,22200
PPS_HAB,PT20,18700,19000,18300,19100,18400,18200,18700,19100,20000,20200,20400,21000
PPS_HAB,PT30,20900,20900,19800,20200,19900,18800,19400,20200,21100,21900,22800,23100
PPS_HAB,RO11,10400 b,11400 b,11000 b,11100 b,10900 b,12500,12600,13400,14300,15700,17700,18900 p
PPS_HAB,RO12,11100 b,12000 b,11500 b,11900 b,12000 b,13800,13600,14100,15100,16500,18000,19200 p
PPS_HAB,RO21,6800 b,7800 b,7500 b,7600 b,7400 b,9000,9100,9300,9900,10600,11900,12800 p
PPS_HAB,RO22,9000 b,10100 b,9800 b,10000 b,10700 b,12300,13000,13600,13900,14500,15700,16800 p
PPS_HAB,RO31,8900 b,10400 b,10400 b,10000 b,10900 b,10900,11400,12800,12800,13900,14700,15700 p
PPS_HAB,RO32,25500 b,31700 b,28200 b,29200 b,31900 b,33700,34300,35300,39100,40600,44100,46800 p
PPS_HAB,RO41,8300 b,9400 b,9100 b,9300 b,9200 b,10900,10700,10900,11800,12500,14100,15200 p
PPS_HAB,RO42,12100 b,14000 b,13300 b,13900 b,14100 b,15200,15100,15400,16900,18500,19600,20900 p
PPS_HAB,RS11,: ,: ,: ,: ,: ,18100,18400,17800,18900,19000,19400,20900
PPS_HAB,RS12,: ,: ,: ,: ,: ,10700,11000,11100,11200,11300,11500,11900
PPS_HAB,RS21,: ,: ,: ,: ,: ,7200,7300,7700,8000,7900,8000,8200
PPS_HAB,RS22,: ,: ,: ,: ,: ,6700,6800,6800,7000,7100,7400,8000
PPS_HAB,SE11,46200,45600,44000,44800,47100,48100,47300,48800,52000,50100 b,50000,50500
PPS_HAB,SE12,29000,28700,26300,28000,29200,30000,29600,29900,31400,31000 b,31900,32500
PPS_HAB,SE21,29200,29200,25400,27200,28600,29000,28900,29300,31200,31100 b,32100,32700
PPS_HAB,SE22,30600,28900,26200,27700,28300,28900,28700,29600,31400,30400 b,31300,31700
PPS_HAB,SE23,32200,32300,29200,30900,32100,32400,32500,33300,35800,35500 b,36000,36700
PPS_HAB,SE31,27800,27600,24800,26600,27300,28000,27500,27900,29300,28900 b,29400,30300
PPS_HAB,SE32,28200,29200,27400,29900,29900,30400,29700,30000,31100,30500 b,31300,32300
PPS_HAB,SE33,30100,31300,26700,31800,32700,33200,32100,32000,33100,32700 b,34900,35800
PPS_HAB,SI03,18500,19200,17100,17400,18000,18100,18300,18900,19700,20000,21000,22100
PPS_HAB,SI04,27700,28300,25400,25800,26200,26400,26300,27100,28300,28900,30500,32200
PPS_HAB,SK01,41900,44000,43800,47400,49700,50100,51700,52300,55300,52100,52000,53300 e
